feedspotPage,feedspotFeedId,feedspotFolderId,name,rssUrl,websiteUrl,notes,tier,category,dinner_score,enabled,error
"https://www.feedspot.com/reader/fo/7957216/fe/4425744","4425744","7957216","Energy Industry - The Economic Times","https://economictimes.indiatimes.com/rssfeeds/13358350.cms","//economictimes.indiatimes.com","Latest Industry News and Analysis on Power, Energy, Oil and Gas. News on companies and industries related to electricity generation, distribution, power plants, non renewable energy, renewable energy, solar energy and nuclear energy industry and companies.","","","10","true",""
"https://www.feedspot.com/reader/fo/7957216/fe/5178800","5178800","7957216","Hydropower & Dams International","https://www.hydropower-dams.com/news/feed","//hydropower-dams.com","A bi-monthly journal dedicated to the dissemination of information in the hydropower and dams industry and related fields.","","","10","true",""
"https://www.feedspot.com/reader/fo/7957216/fe/5160641","5160641","7957216","IRENA","https://www.irena.org/iapi/rssfeed/News","//irena.org","The International Renewable Energy Agency (IRENA) is an intergovernmental organization that supports countries in their transition to a sustainable energy future. IRENA promotes the widespread adoption and sustainable use of all forms of renewable energy, including bioenergy, geothermal, hydropower, ocean, solar, and wind energy in the pursuit of sustainable development, energy access, energy security, low-carbon economic growth, and prosperity.","","","10","true",""
"https://www.feedspot.com/reader/fo/7957216/fe/5087382","5087382","7957216","Power Magazine","https://www.powermag.com/feed/","//powermag.com","POWER Magazine is the power industry's trusted source for generation technology, O&M, and legal & regulatory news for coal, gas, nuclear, hydro, wind & solar power plants; power jobs. POWER provides the most important business operations and legal and regulatory news, as well as operations and maintenance information, for the power generation industry. Through POWER, industry professionals learn about best practices, safety issues, improved productivity, and more.","","","10","true",""
"https://www.feedspot.com/reader/fo/7957216/fe/5451464","5451464","7957216","Power Magazine » Coal","https://www.powermag.com/category/coal/feed/","//powermag.com","Find all our brilliant and comprehensive coverage of The Coal Industry. Read Incisive, Thorough articles on key issues and current trends in the Market. Power Mag is the power industry's trusted source for generation technology, O&M, and legal & regulatory news for coal, gas, nuclear, hydro, wind & solar power plants and power jobs.","","","10","true",""
"https://www.feedspot.com/reader/fo/7957216/fe/5610892","5610892","7957216","Power Magazine » Nuclear","https://www.powermag.com/category/nuclear/feed/","//powermag.com","The power industry's trusted source for generation technology, O&M, and legal & regulatory news for coal, gas, nuclear, hydro, wind & solar power plants; power jobs and more! Explore articles on Nuclear power plant design, licensing, construction, operation and maintenance, refueling, and uprating.","","","10","true",""
"https://www.feedspot.com/reader/fo/7957216/fe/4322379","4322379","7957216","Renewable Energy World","https://www.renewableenergyworld.com/feed/","//renewableenergyworld.com","RenewableEnergyWorld.com is the World's leading publisher of renewable energy news and information on solar energy, wind energy, hydropower, geothermal energy, bioenergy and more. Find the best renewable energy news, in-depth articles, research, high quality videos, companies, products, conferences and more.","","","10","true",""
"https://www.feedspot.com/reader/fo/7957216/fe/4552365","4552365","7957216","Solar Builder Magazine","https://solarbuildermag.com/feed/","//solarbuildermag.com","Solar Builder is a B2B media brand specializing in the residential, commercial, and utility-scale U.S. solar markets. Solar Builder focuses on the installation/construction of solar PV systems, covering the latest PV technology. Stay ahead of the curve by engaging with their blog's informative content, designed to keep you up-to-date and informed about the ever-evolving solar landscape.","","","10","true",""
"https://www.feedspot.com/reader/fo/7957216/fe/192549","192549","7957216","Solar Daily","https://www.solardaily.com/solardaily.xml","","Solar News From Solar Daily - 24/7 News Coverage of the Solar Energy Industry.","","","10","true",""
"https://www.feedspot.com/reader/fo/7957216/fe/4552270","4552270","7957216","Solar Power World","http://www.solarpowerworldonline.com/category/industry-news/feed/","//solarpowerworldonline.com","Covering the world of solar power technology, development and installation. Solar Power World is the best resource for Solar Power information - from design and layout to photovoltaics, solar inverters and other Solar Power news.","","","10","true",""
"https://www.feedspot.com/reader/fo/7957216/fe/3968899","3968899","7957216","SolarWakeup.com","https://www.solarwakeup.com/feed/","//solarwakeup.com","Today's top solar news read by solar pros","","","10","true",""
"https://www.feedspot.com/reader/fo/7957216/fe/4438899","4438899","7957216","The Economic Times » Energy Industry","https://economictimes.indiatimes.com/industry/energy/rssfeeds/13358350.cms","//economictimes.indiatimes.com","Latest Industry News and Analysis on Power, Energy, Oil and Gas. News on companies and industries related to electricity generation, distribution, power plants, non renewable energy, renewable energy, solar energy and nuclear energy industry and companies.","","","10","true",""
"https://www.feedspot.com/reader/fo/7957216/fe/4766638","4766638","7957216","Think GeoEnergy","https://www.thinkgeoenergy.com/feed/","//thinkgeoenergy.com","ThinkGeoEnergy delivers business-to-business news with a focus on development, technology, finance and related topics, paired with market analysis and events informing and connecting players in the international geothermal energy market.","","","10","true",""
"https://www.feedspot.com/reader/fo/7957216/fe/94639","94639","7957216","U.S. Nuclear Regulatory Commission","https://www.nrc.gov/public-involve/rss.cfm?feed=news","//nrc.gov","The U.S. Nuclear Regulatory Commission (NRC) was created as an independent agency by Congress in 1974 to ensure the safe use of radioactive materials for beneficial civilian purposes while protecting people and the environment. The NRC regulates commercial nuclear power plants and other uses of nuclear materials, such as in nuclear medicine, through licensing, inspection and enforcement of its requirements.","","","10","true",""
