feedspotPage,feedspotFeedId,feedspotFolderId,name,rssUrl,websiteUrl,notes,tier,category,dinner_score,enabled,error
"https://www.feedspot.com/reader/fo/7955632/fe/5362118","5362118","7955632","AGDAILY","https://www.agdaily.com/feed/","//agdaily.com","Agdaily develops smart, engaging, and innovative content for production farming and rural living and is the premier digital destination for agriculture news, trends, and rural lifestyle -- a forward-thinking site for a forward-thinking industry. Get the latest Agriculture News, Trends & Farming Videos from Agdaily.","","","10","true",""
"https://www.feedspot.com/reader/fo/7955632/fe/4768641","4768641","7955632","AgFunderNews","https://agfundernews.com/feed","//agfundernews.com","AFN is a news site dedicated to publishing daily, original news about the burgeoning food tech and agtech startup and venture capital industry. Browse the latest articles and news on agriculture technology, food technology, ag investing, startups and more.","","","10","true",""
"https://www.feedspot.com/reader/fo/7955632/fe/5362126","5362126","7955632","AgNet West","https://agnetwest.com/feed/","//agnetwest.com","AgNet West Radio Network news headlines air on more than 30 radio stations throughout California. It provides growers and other listeners with local farm news produced daily in the heart of the Central Valley near Fresno.","","","10","true",""
"https://www.feedspot.com/reader/fo/7955632/fe/3722498","3722498","7955632","Agri Investor","https://www.agriinvestor.com/feed/","//agriinvestor.com","Agri Investor is the dedicated source of insight and intelligence for private investigations on agribusiness and agriculture globally. It is relevant to institutional investors, assets managers, advisors and operators focused on Agri investment. We cover private investment in farmland, timberland, agriculture and food technology, processing, storage, water and agribusinesses.","","","10","true",""
"https://www.feedspot.com/reader/fo/7955632/fe/5155355","5155355","7955632","Agric4Profits","https://agric4profits.com/feed/","//agric4profits.com","Your #1 Practical Farming Guide Website! It's All About Agriculture, The Way Forward!! Benadine Nonye is an agricultural consultant and a writer with over 12 years of professional experience in the agriculture industry.","","","10","true",""
"https://www.feedspot.com/reader/fo/7955632/fe/5187382","5187382","7955632","AgriLife Today","https://agrilifetoday.tamu.edu/feed/","//agrilifetoday.tamu.edu","The Texas A&M AgriLife strives to improve lives, environments and the Texas economy through education, research, extension and service. We provide agriculture and health news from Texas A&M AgriLife. We share news to improve lives, environments, scientific rigour and the Texas Economy.","","","10","true",""
"https://www.feedspot.com/reader/fo/7955632/fe/5362119","5362119","7955632","AgUpdate","https://agupdate.com/search/?f=rss","//agupdate.com","Ag Updates is an aggregate of popular farming and agriculture news sites bringing you crop, livestock, and farm operations news. We gather the latest agriculturally related news and events from across America's heartland.","","","10","true",""
"https://www.feedspot.com/reader/fo/7955632/fe/5454513","5454513","7955632","Agweek","https://www.agweek.com/index.rss","//agweek.com","Agweek is the top source for agriculture news and information, agriculture news and farming trends, issues, and crop details in North Dakota, Minnesota, and South Dakota. Owned and operated by Forum Communications, Agweek has been consistently delivering quality journalism covering Agriculture and related industries.","","","10","true",""
"https://www.feedspot.com/reader/fo/7955632/fe/4280957","4280957","7955632","AgWired","https://agwired.com/feed/","//agwired.com","News and information from the world of AgriBusiness","","","10","true",""
"https://www.feedspot.com/reader/fo/7955632/fe/5454581","5454581","7955632","Alberta Farmer Express","https://www.albertafarmexpress.ca/feed/","//albertafarmexpress.ca","Alberta Farmer Express provides daily agriculture news, features, videos, event listings, and a daily newsletter to Alberta farmers and ranchers. Alberta Farmer Express is widely recognized as the place where Alberta farmers and ranchers find out what's happening in agriculture, whether it's on local farms or on farms around the world.","","","10","true",""
"https://www.feedspot.com/reader/fo/7955632/fe/5454515","5454515","7955632","All Ag News","https://www.allagnews.com/feed/","//allagnews.com","Ag News From The Nation's Only Full-Time Farm Station","","","10","true",""
"https://www.feedspot.com/reader/fo/7955632/fe/5454584","5454584","7955632","American Ag Network","https://www.americanagnetwork.com/feed/","//americanagnetwork.com","The American Ag Network brings timely and accurate ag market, news, and weather to the nation's airwaves through our affiliate stations, as well as online at americanagnetwork.com. We're dedicated to telling the story of agriculture: from keeping producers informed, to educating consumers about the journey from the field to the dinner table","","","10","true",""
"https://www.feedspot.com/reader/fo/7955632/fe/5454562","5454562","7955632","California Ag Network","https://californiaagnet.com/feed/","//californiaagnet.com","California Ag Network is the online hub for agricultural news in the Golden State and covers it all as the farmer's go-to source for daily industry news. A product of Malcolm Media and other renowned Ag Publications, farmers and sponsoring Ag companies alike benefit greatly from connecting on this site.","","","10","true",""
"https://www.feedspot.com/reader/fo/7955632/fe/839510","839510","7955632","Civil Eats","https://feeds.feedburner.com/CivilEats","//civileats.com","Civil Eats is a daily news source for critical thought about the American food system. We publish stories that shift the conversation around sustainable agriculture in an effort to build economically and socially just communities.","","","10","true",""
"https://www.feedspot.com/reader/fo/7955632/fe/5724767","5724767","7955632","CropLife","https://www.croplife.com/feed","//croplife.com","CropLife is the leading source of news and information for ag retailers. Part of the Agribusiness Group at Meister Media Worldwide, CropLife is the nation's brand leader in ag retail communication. CropLife offers unmatched market reach through relevant, impactful brand extensions focused exclusively on the input distribution channel, including CropLife eNews and CropLife Webinars.","","","10","true",""
"https://www.feedspot.com/reader/fo/7955632/fe/5362121","5362121","7955632","CropLife","https://www.croplife.com/feed/","//croplife.com","Explore must-know developments in Agriculture and FoodTech. CropLife is the nation's brand leader in ag retail communication. CropLife offers unmatched market reach through relevant, impactful brand extensions focused exclusively on the input distribution channel, including CropLife eNews and CropLife Webinars.","","","10","true",""
"https://www.feedspot.com/reader/fo/7955632/fe/5202913","5202913","7955632","Episode 3","https://www.thomaseldermarkets.com.au/feed/","//episode3.net","Episode 3 (EP3) is an independent, data-driven market analysis service that provides premium insights and reports to the agriculture industry, food manufacturing sector and their associated commodity markets.","","","10","true",""
"https://www.feedspot.com/reader/fo/7955632/fe/5454583","5454583","7955632","Farm and Dairy","https://www.farmanddairy.com/feed","//farmanddairy.com","Farm and Dairy is a rural Ohio newspaper providing useful, timely, and valuable information to our readers and, in turn, offers our advertisers a loyal, defined audience in order to market their products. Operated by a family-owned company, Farm and Dairy is committed to news, auction information, farm classifieds, and advertising -- both in print and online.","","","10","true",""
"https://www.feedspot.com/reader/fo/7955632/fe/7340394","7340394","7955632","Farm Contractor & Large Scale Farmer","https://www.farmcontractormagazine.com/feed","//farmcontractormagazine.com","Farm Contractor & Large Scale Farmer was launched in 1972 and continues to service generations of professional agricultural contractors.","","","10","true",""
"https://www.feedspot.com/reader/fo/7955632/fe/5056031","5056031","7955632","Farmer's Weekly","https://www.farmersweekly.co.za/feed/","//farmersweekly.co.za","Farmer's Weekly is the oldest agricultural magazine in South Africa, serving as a mouthpiece for the agricultural industry and keeping readers informed.","","","10","true",""
"https://www.feedspot.com/reader/fo/7955632/fe/4504816","4504816","7955632","Farms.com","https://www.farms.com/Portals/_default/RSS_Portal/Featured_All.xml","//farms.com","Each day, our website, Farms.com, welcomes up to 25,000  farmers and agri-business professionals helping them to find the latest agriculture information, farming news, commentaries, weather, auctions, markets, & new products information.","","","10","true",""
"https://www.feedspot.com/reader/fo/7955632/fe/5454552","5454552","7955632","Farms.com","https://www.farms.com/Portals/_default/RSS_Portal/News_All.xml","//farms.com","Farms.com Ltd. is a leading provider of innovative information products and services for the global agriculture and food industries. Our vision is to be an essential partner to our global agriculture and food industry customers; by exceeding their expectations through value-added & integrated information-driven services and solutions enabled by technology.","","","10","true",""
"https://www.feedspot.com/reader/fo/7955632/fe/7340397","7340397","7955632","Seed World","https://www.seedworld.com/feed/","//seedworld.com","The magazine for seed industry that delivers real marketing, lead generation and custom media solutions for today's innovative businesses supplying products and services to this lucrative $12 billion market.","","","10","true",""
"https://www.feedspot.com/reader/fo/7955632/fe/7340395","7340395","7955632","South East Farmer","https://www.southeastfarmer.net/feed/","//southeastfarmer.net","South East Farmer is the region's favourite farming magazine. 45,000 farmers, growers and allied traders read the magazine each month in the counties of Kent, Sussex, Essex, Surrey, Hampshire, Berkshire, Buckinghamshire and Oxfordshire.","","","10","true",""
"https://www.feedspot.com/reader/fo/7955632/fe/5459992","5459992","7955632","Speciality Crop Grower","https://specialtycropgrower.com/feed/","//floridagrower.net","Florida Grower Magazine is the premier publication serving Florida's specialty crop growers since 1908. Go behind the scenes with Florida Grower and learn about the latest in citrus, vegetables, crop protection, farm management, industry events and more.","","","10","true",""
"https://www.feedspot.com/reader/fo/7955632/fe/5192510","5192510","7955632","The Fence Post","https://www.thefencepost.com/feed/","//thefencepost.com","The Fence Post is a nationwide agricultural newspaper covering a wide range of readers each week. Each issue and the website of The Fence Post contains auction details, obituaries, recipes, cartoons, event coverage, and human interest stories all pertaining to the agricultural business. We strive to keep a high level of customer service to our Farmer readers.","","","10","true",""
"https://www.feedspot.com/reader/fo/7955632/fe/7340392","7340392","7955632","The Land","https://www.thelandonline.com/search/?f=rss&t=article","//thelandonline.com","The Land is a biweekly agriculture-rural life publication printed in Mankato, Minn.","","","10","true",""
